MSG	TID	OLD_DEBUG	OLD_RELEASE
"OmniHTTPd visadmin.exe程序远程拒绝服务攻击"	10000	d:10001	NONE
"Microsoft IIS 4.0 fpcount.exe远程缓冲区溢出"	10001	d:10002	NONE
"Microsoft IIS 4.0 ExAir示例脚本远程拒绝服务攻击"	10002	d:10003	NONE
"IBM WebSphere Edge Server Caching Proxy远程拒绝服务攻击"	10003	d:10004	NONE
"Unify eWave ServletExec远程拒绝服务攻击"	10004	d:10005	NONE
"SalesLogix eViewer远程拒绝服务攻击"	10005	d:10006	NONE
"3COM OfficeConnect Router远程拒绝服务攻击"	10006	d:10007	NONE
"Behold! Software Counter.exe远程拒绝服务攻击"	10007	d:10008	NONE
"Cisco VoIP Phone流量统计请求拒绝服务攻击"	10008	d:10009	NONE
"HP OpenView NNM OVActionD程序任意指令执行攻击"	10009	d:10010	NONE
"Microsoft Outlook Web Access远程拒绝服务攻击"	10010	d:10011	r:10011
"B2 b2edit.showposts.php脚本漏洞探测"	10011	d:10013	NONE
"Abe Timmerman zml.cgi目录遍历攻击"	10012	d:10014	NONE
"NCSA nph-test-cgi目录遍历攻击"	10013	d:10015	NONE
"Hylafax faxsurvey程序任意指令执行攻击"	10014	d:10016	NONE
"IRIX handler程序任意指令执行攻击"	10015	d:10018	NONE
"Roar Smith info2www程序任意指令执行攻击"	10016	d:10019	NONE
"NCSA PHF远程执行命令攻击"	10017	d:10020	NONE
"WEBgais webgais脚本漏洞远程执行命令攻击"	10018	d:10022	NONE
"WEBgais websendmail脚本远程执行命令攻击"	10019	d:10023	NONE
"NCSA test-cgi脚本获得目录内容列表变种攻击1"	10020	d:10024	NONE
"NCSA test-cgi脚本获得目录内容列表攻击"	10021	d:10025	NONE
"IRIX pfdispaly.cgi脚本远程执行命令或读取文件攻击"	10022	d:10026	NONE
"CdomainFree whois_raw.cgi脚本远程执行命令攻击"	10023	d:10027	NONE
"Microsoft JET catalog_type.asp脚本远程执行命令攻击"	10024	d:10029	NONE
"Perl.exe CGI脚本远程执行命令攻击"	10025	d:10030	NONE
"Microsoft IIS 4.0/5.0 CGI文件名错误解码攻击"	10026	d:10031	r:10031
"VBulletin Calendar.php脚本远程执行命令攻击"	10027	d:10032	NONE
"Abe Timmerman zml.cgi脚本扫描攻击"	10028	d:10033	NONE
"IRIX webdist.cgi脚本远程执行命令攻击"	10029	d:10034	NONE
"Marcus S.directory.php脚本远程执行命令攻击"	10030	d:10035	NONE
"HIS Auktion脚本目录遍历攻击"	10031	d:10036	NONE
"HIS Auktion脚本扫描利用攻击"	10032	d:10037	NONE
"Search.cgi脚本远程执行命令攻击"	10033	d:10038	r:10038
"BizDB bizdb-search.cgi脚本扫描攻击"	10034	d:10039	r:10039
"Oracle Web Listener snork.bat批处理扫描攻击"	10035	d:10041	NONE
"Calendar_admin.pl脚本漏洞远程执行命令"	10036	d:10042	NONE
"Phorum admin.php3脚本扫描攻击"	10037	d:10043	NONE
"Talentsoft Web+例子脚本执行命令攻击"	10038	d:10044	r:10044
"Phorum 3.0.7 auth.php3脚本扫描攻击"	10039	d:10045	NONE
"WebPALS pals-cgi程序远程执行命令攻击"	10040	d:10046	NONE
"DCForum dcboard.cgi脚本扫描攻击"	10041	d:10047	NONE
"Informix Webdriver脚本扫描攻击"	10042	d:10049	NONE
"Webspeed wsisa.dll越权管理攻击"	10043	d:10050	r:10050
"DNSTools dnstools.php脚本控制应用程序攻击"	10044	d:10051	NONE
"Blahz-DNS dostuff.php脚本控制应用程序攻击"	10045	d:10052	NONE
"SquirrelSpell check_me.mod.php脚本远程执行命令攻击"	10046	d:10053	NONE
"SquirrelMail left_main.php脚本远程执行命令攻击"	10047	d:10054	NONE
"RedHat Piranha passwd.php3脚本扫描攻击"	10048	d:10056	NONE
"Cart32 c32web.exe脚本更改应用口令攻击"	10049	d:10057	r:10057
"VirusWall FtpSave.dll脚本扫描探测攻击"	10050	d:10058	NONE
"Oracle Web Listener批处理文件远程执行命令攻击"	10051	d:10062	r:10062
"DCP-Portal lib.php脚本远程执行命令攻击"	10052	d:10063	r:10063
"Psunami.cgi脚本远程执行命令攻击"	10053	d:10064	NONE
"YABB SE news.php脚本远程执行命令攻击"	10054	d:10065	r:10065
"YABB SE packages.php脚本远程执行命令攻击"	10055	d:10066	NONE
"MyphpPageTool CGI脚本远程执行命令攻击"	10056	d:10067	NONE
"Invision Board ipchat.php脚本远程执行命令攻击"	10057	d:10068	r:10068
"Webchat defines.php脚本远程执行命令变种攻击1"	10058	d:10069	r:10069
"Webchat defines.php脚本远程执行命令攻击"	10059	d:10070	r:10070
"McMurtrey Whitaker Associates Cart32管理口令攻击"	10060	d:10071	r:10071
"AwStats CGI脚本远程执行命令攻击"	10061	d:10073	NONE
"HP OpenView网络节点管理器远程命令执行变种攻击1"	10062	d:10075	NONE
"HP OpenView网络节点管理器远程命令执行变种攻击2"	10063	d:10076	NONE
"HP OpenView网络节点管理器远程命令执行变种攻击3"	10064	d:10077	NONE
"HP OpenView网络节点管理器远程命令执行变种攻击4"	10065	d:10078	NONE
"HP OpenView网络节点管理器远程命令执行变种攻击5"	10066	d:10079	NONE
"HP OpenView网络节点管理器远程命令执行攻击"	10067	d:10080	NONE
"Horde Help模块远程执行命令攻击"	10068	d:10081	NONE
"RaXnet Cacti graph_image.php远程命令执行变种攻击1"	10069	d:10082	NONE
"RaXnet Cacti graph_image.php远程命令执行变种攻击2"	10070	d:10083	NONE
"RaXnet Cacti graph_image.php远程命令执行变种攻击3"	10071	d:10084	NONE
